Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
"RSI Enterprises, Inc.",0.0,,1218642.0,,Debt collection,2015
RSR & ASSOCIATES INC.,0.0,,1689870.0,,Debt collection,2015
RUSHMORE LOAN MANAGEMENT SERVICES LLC,0.0,,1247155.0,,Debt collection,2015
Radius Global Solutions LLC,0.0,,1192290.0,,Debt collection,2015
"Ragan & Ragan, PC",0.0,,1491458.0,,Debt collection,2015
"Rainier Collection Services, Inc.",0.0,,1289800.0,,Debt collection,2015
"Rauch-Milliken International, Inc.",0.0,,1245360.0,,Debt collection,2015
"Rausch, Sturm, Israel, Enerson & Hornik, LLP",0.0,,1217185.0,,Debt collection,2015
"Ray Klein, Inc.",0.0,,1184625.0,,Debt collection,2015
"Razor Capital, LLC",0.0,,1271658.0,,Debt collection,2015
"Real Time Resolutions, Inc.",0.0,,1209871.0,,Debt collection,2015
Receivable Asset Management,0.0,,1196020.0,,Debt collection,2015
"Receivable Management Group, Inc. (GA)",0.0,,1213286.0,,Debt collection,2015
"Receivable Recovery Services, LLC",0.0,,1210040.0,,Debt collection,2015
"Receivable Solutions Specialist, Inc.",0.0,,1179624.0,,Debt collection,2015
"Receivable Solutions, Inc.",0.0,,1500755.0,,Debt collection,2015
Receivables Management Associates,0.0,,2902909.0,,Debt collection,2015
Receivables Management Corporation,0.0,,1216838.0,,Debt collection,2015
Receivables Management Corporation of America,0.0,,1421579.0,,Debt collection,2015
"Receivables Management Group, Inc. (MN)",0.0,,1207684.0,,Debt collection,2015
"Receivables Management Partners, LLC",0.0,,1178228.0,,Debt collection,2015
"Receivables Outsourcing, Inc.",0.0,,1194230.0,,Debt collection,2015
"Receivables Performance Management, LLC",0.0,,1179513.0,,Debt collection,2015
"Recheck, Inc",0.0,,1419251.0,,Debt collection,2015
"Recovery One, LLC",0.0,,1206794.0,,Debt collection,2015
"Recovery Partners, LLC",0.0,,1195561.0,,Debt collection,2015
"Recovery Solutions Group, LLC",0.0,,1253760.0,,Debt collection,2015
Red Cedar Associates LLC,0.0,,1638878.0,,Debt collection,2015
"Red Cedar Services, Inc",0.0,,1373366.0,,Debt collection,2015
"Regional Acquisition Group, Inc.",0.0,,1182833.0,,Debt collection,2015
"Regional Collection Services, Inc.",0.0,,1633139.0,,Debt collection,2015
Regional Credit Solutions,0.0,,1347655.0,,Debt collection,2015
Regional Management Corporation,0.0,,1181422.0,,Debt collection,2015
Regional Processing Services,0.0,,1371842.0,,Debt collection,2015
"Reliable Auto Finance, Inc.",0.0,,1437489.0,,Debt collection,2015
"Reliable Credit Association, Inc.",0.0,,1390700.0,,Debt collection,2015
Reliance Exchange Group,0.0,,1202880.0,,Debt collection,2015
"Reliant Capital Solutions, LLC",0.0,,1209242.0,,Debt collection,2015
"Remex, Inc.",0.0,,2480000.0,,Debt collection,2015
Remit Corporation,0.0,,1385107.0,,Debt collection,2015
"Rent Recover, LLC",0.0,,1192518.0,,Debt collection,2015
Rent Recovery Solutions,0.0,,1188684.0,,Debt collection,2015
"RentDebt Automated Collections, LLC",0.0,,1211388.0,,Debt collection,2015
Renton Collections Inc.,0.0,,1224686.0,,Debt collection,2015
"ResidentCollect, Inc.",0.0,,1195517.0,,Debt collection,2015
"Residential Credit Solutions, Inc.",0.0,,1219994.0,,Debt collection,2015
"Resolute Credit, LLC",0.0,,2896193.0,,Debt collection,2015
"Resolve Partners, LLC",0.0,,1534927.0,,Debt collection,2015
Resource Management Group,0.0,,1263916.0,,Debt collection,2015
"Results Unlimited, Inc.",0.0,,1371101.0,,Debt collection,2015
"Resurgence Financial, LLC",0.0,,1218438.0,,Debt collection,2015
"Resurgence Legal Group, PC",0.0,,1352128.0,,Debt collection,2015
Resurgent Capital Services L.P.,0.0,,1177981.0,,Debt collection,2015
Retail Merchants Associates,0.0,,1195345.0,,Debt collection,2015
Retention Consulting Services Inc.,0.0,,1284975.0,,Debt collection,2015
"Retrieval-Masters Creditors Bureau, Inc.",0.0,,1180903.0,,Debt collection,2015
"RevCrest, Inc.",0.0,,1509544.0,,Debt collection,2015
"RevMD Partners, LLC.",0.0,,1208914.0,,Debt collection,2015
"RevSolve, Inc.",0.0,,1231342.0,,Debt collection,2015
Revenue Assistance Corporation dba Revenue Group,0.0,,2435153.0,,Debt collection,2015
Revenue Assurance Professionals LLC,0.0,,1203472.0,,Debt collection,2015
"Revenue Collection Bureau, Inc.",0.0,,1478213.0,,Debt collection,2015
Revenue Cycle Management,0.0,,1422846.0,,Debt collection,2015
Revenue Cycle Management Corp,0.0,,1682239.0,,Debt collection,2015
"Revenue Enterprises, LLC",0.0,,1217498.0,,Debt collection,2015
Revenue Recovery Bureau (Closed),0.0,,1223332.0,,Debt collection,2015
Revenue Recovery Corporation,0.0,,1179597.0,,Debt collection,2015
"Revenue Systems, Inc.",0.0,,1497057.0,,Debt collection,2015
"Rhodes, Kelly Assoc Inc",0.0,,1638674.0,,Debt collection,2015
Richard H. Kream,0.0,,1648383.0,,Debt collection,2015
"Richard J. Boudreau & Associates, LLC",0.0,,1308674.0,,Debt collection,2015
"Richard Sokoloff, Attorney At Law",0.0,,1235207.0,,Debt collection,2015
Richland Bureau of Credits Medical Service Bureau Inc.,0.0,,1598997.0,,Debt collection,2015
"Richland Holdings, Inc.",0.0,,1311806.0,,Debt collection,2015
"Rickart Collection Systems, Inc.",0.0,,1425099.0,,Debt collection,2015
"Ridge & Valley Realty, Inc.",0.0,,1221963.0,,Debt collection,2015
"Riexinger & Associates, LLC",0.0,,1184494.0,,Debt collection,2015
"Risecredit, LLC",0.0,,1178788.0,,Debt collection,2015
"Riverview Law Office, PLLC",0.0,,1340316.0,,Debt collection,2015
"Roach & Murtha, P.C.",0.0,,1628216.0,,Debt collection,2015
"Road Runner Collection Services, Inc.",0.0,,1401277.0,,Debt collection,2015
"Robert W. Warner & Associates, P.C.",0.0,,1203292.0,,Debt collection,2015
Robinson & Hoover,0.0,,1330076.0,,Debt collection,2015
"Robinson, Reagan and Young PLLC",0.0,,1223084.0,,Debt collection,2015
Rocky Mountain Recovery Group,0.0,,1297582.0,,Debt collection,2015
"Rocky Mountain Service Bureau, Inc",0.0,,1623244.0,,Debt collection,2015
Rodenburg LLP,0.0,,1254057.0,,Debt collection,2015
"Rodriguez Fernandez Law Offices, LLC",0.0,,1534297.0,,Debt collection,2015
"Rolfe & Lobello, P.A.",0.0,,1318028.0,,Debt collection,2015
"Roosen, Varchetti & Olivier, PLLC",0.0,,1216626.0,,Debt collection,2015
Roquemore Holdings LLC,0.0,,1347510.0,,Debt collection,2015
"Rose & Associates, LLC.",0.0,,1204278.0,,Debt collection,2015
Rose Agency Inc.,0.0,,1233599.0,,Debt collection,2015
"Ross, Stuart & Dawson Inc",0.0,,1434616.0,,Debt collection,2015
"Rossi Law Offices, Ltd",0.0,,1434657.0,,Debt collection,2015
Rossman & Co & PCB,0.0,,1198861.0,,Debt collection,2015
Round Two Recovery,0.0,,1197817.0,,Debt collection,2015
RoundPoint Mortgage Servicing Corporation,0.0,,1541473.0,,Debt collection,2015
Roycroft Management,0.0,,1568367.0,,Debt collection,2015
"Rozlin Financial Group, Inc.",0.0,,1179002.0,,Debt collection,2015
"Rubin & Debski, P.A.",0.0,,1200056.0,,Debt collection,2015
"Rubin & Rothman, LLC",0.0,,1205905.0,,Debt collection,2015
"Rubin & Yates, LLC",0.0,,1186945.0,,Debt collection,2015
"Rushmore Service Center, LLC",0.0,,1222837.0,,Debt collection,2015
"Russell Collection Agency, Inc",0.0,,1338210.0,,Debt collection,2015
"Russell W Richardson, Attorney at Law",0.0,,1205731.0,,Debt collection,2015
"S & S Recovery, Inc.",0.0,,1212482.0,,Debt collection,2015
"S&S Physician Services, Inc.",0.0,,1224518.0,,Debt collection,2015
S.B.S. Trust Deed Network,0.0,,1448674.0,,Debt collection,2015
"SACOR FINANCIAL, INC",0.0,,1201131.0,,Debt collection,2015
"SANTANDER BANK, NATIONAL ASSOCIATION",0.0,,1184066.0,,Debt collection,2015
"SCA Collections, Inc.",0.0,,1198337.0,,Debt collection,2015
SCV Inc.,0.0,,1233869.0,,Debt collection,2015
SECURITY CREDIT SYSTEMS INC,0.0,,1188711.0,,Debt collection,2015
SECURITY FINANCE CORP,0.0,,1181404.0,,Debt collection,2015
"SELECT PORTFOLIO SERVICING, INC.",0.0,,2392249.0,,Debt collection,2015
"SFS, Inc",0.0,,1354903.0,,Debt collection,2015
"SHAPIRO LAW OFFICE, PC",0.0,,1306679.0,,Debt collection,2015
"SHARP COLLECTIONS, INC",0.0,,1382192.0,,Debt collection,2015
"SIMM Associates, Inc.",0.0,,1194524.0,,Debt collection,2015
"SINGLETARY & THRASH-JACKSON, P.A.",0.0,,1421052.0,,Debt collection,2015
SIRVA WORLDWIDE INC.,0.0,,1190096.0,,Debt collection,2015
"SKO Brenner American, Inc.",0.0,,1187008.0,,Debt collection,2015
SLM CORPORATION,0.0,,1230569.0,,Debt collection,2015
SN SERVICING CORPORATION,0.0,,1452030.0,,Debt collection,2015
SQUARETWO FINANCIAL CORPORATION,0.0,,1183315.0,,Debt collection,2015
"SRA Associates, Inc.",0.0,,1190970.0,,Debt collection,2015
STATE EMPLOYEES CREDIT UNION,0.0,,1695272.0,,Debt collection,2015
"STATE FARM BANK, FSB",0.0,,1198255.0,,Debt collection,2015
"STERLING JEWELERS, INC.",0.0,,1189271.0,,Debt collection,2015
"STONELEIGH RECOVERY ASSOCIATES, LLC",0.0,,1193492.0,,Debt collection,2015
STUDENT ASSISTANCE FOUNDATION,0.0,,1536059.0,,Debt collection,2015
"SUN FINANCE COMPANY, LLC",0.0,,1384366.0,,Debt collection,2015
SUN LOAN COMPANY INC.,0.0,,1183265.0,,Debt collection,2015
"SUNRISE CREDIT SERVICES, INC",0.0,,1180047.0,,Debt collection,2015
"SUNTRUST BANKS, INC.",0.0,,1254006.0,,Debt collection,2015
SUPERIOR DEBT RECOVERY LLC,0.0,,1441669.0,,Debt collection,2015
"SW Linear Investment Group, LLC",0.0,,1452029.0,,Debt collection,2015
SYNCHRONY FINANCIAL,0.0,,2355982.0,,Debt collection,2015
"Sa-Vit Enterprises, Inc.",0.0,,1224296.0,,Debt collection,2015
"Saints Recovery Group, Inc.",0.0,,1198896.0,,Debt collection,2015
Samuel Whitaker & Associates LLC,0.0,,1324575.0,,Debt collection,2015
Santander Consumer USA Holdings Inc.,0.0,,1178935.0,,Debt collection,2015
"Sarasota CCM, Inc.",0.0,,1267773.0,,Debt collection,2015
Sarma,0.0,,1205456.0,,Debt collection,2015
"Schachter Portnoy, L.L.C.",0.0,,1318542.0,,Debt collection,2015
"Scheer, Green & Burke L.P.A.",0.0,,1251018.0,,Debt collection,2015
Scherr & McClure,0.0,,1215721.0,,Debt collection,2015
"Schiller & Knapp, LLP",0.0,,1445949.0,,Debt collection,2015
Scott Fetzer Financial Group Inc.,0.0,,1181016.0,,Debt collection,2015
"Scott Lowery Law Office, P.C.",0.0,,1716629.0,,Debt collection,2015
"Scott and Goldman, Inc.",0.0,,1546428.0,,Debt collection,2015
"Seattle Service Bureau, Inc",0.0,,1237317.0,,Debt collection,2015
"Second Alliance, Inc.",0.0,,1283523.0,,Debt collection,2015
Second Round Limited Partnership,0.0,,1180043.0,,Debt collection,2015
"Secure Capital Management, Inc.",0.0,,1256703.0,,Debt collection,2015
"Security Auto Loans, Inc.",0.0,,1245624.0,,Debt collection,2015
"Security Credit Services, LLC",0.0,,1215989.0,,Debt collection,2015
Security National Automotive Acceptance,0.0,,1611686.0,,Debt collection,2015
Security National Mortgage,0.0,,1190835.0,,Debt collection,2015
"Segan, Mason & Mason, P.C.",0.0,,1428907.0,,Debt collection,2015
"Seidberg Law Offices, P.C.",0.0,,1262047.0,,Debt collection,2015
"Select Management Resources, LLC",0.0,,1234060.0,,Debt collection,2015
Select Resource Group,0.0,,1199742.0,,Debt collection,2015
Selene Finance LP,0.0,,1182132.0,,Debt collection,2015
"Selip & Stylianou, LLP",0.0,,1206993.0,,Debt collection,2015
Senex Services Corp.,0.0,,1198529.0,,Debt collection,2015
Sentrix Financial Services,0.0,,1185796.0,,Debt collection,2015
"Sentry Credit, Inc.",0.0,,1184365.0,,Debt collection,2015
"Sentry Recovery and Collections, Inc.",0.0,,1180251.0,,Debt collection,2015
Servatus Corporation,0.0,,1185838.0,,Debt collection,2015
"Service Bureau, Inc.",0.0,,1219337.0,,Debt collection,2015
"Service Finance Holdings, LLC",0.0,,1197947.0,,Debt collection,2015
"Service Investment Company, Inc.",0.0,,1281885.0,,Debt collection,2015
"Servis One, Inc.",0.0,,1239174.0,,Debt collection,2015
"Sessoms & Rogers, P.A.",0.0,,1206884.0,,Debt collection,2015
Set Financial Corporation,0.0,,1214373.0,,Debt collection,2015
"Seterus, Inc.",0.0,,1202203.0,,Debt collection,2015
Seth L. Goldner PC,0.0,,1279509.0,,Debt collection,2015
"Shapiro, DiCaro & Barak, LLC",0.0,,1373720.0,,Debt collection,2015
"Shechtman Halperin Savage, LLP",0.0,,1179575.0,,Debt collection,2015
"Shellpoint Partners, LLC",0.0,,1202252.0,,Debt collection,2015
"Sherloq Group, Inc",0.0,,1195506.0,,Debt collection,2015
"Shermeta Law Group, PLLC",0.0,,1274791.0,,Debt collection,2015
Sierra Holdings LLC,0.0,,1266470.0,,Debt collection,2015
"Signature Performance Tiburon, LLC",0.0,,1473667.0,,Debt collection,2015
"Simon’s Agency, Inc",0.0,,1352083.0,,Debt collection,2015
"Simpson Law Firm, P.A.",0.0,,1645100.0,,Debt collection,2015
"Skagit Bonded Collectors, LLC",0.0,,1184364.0,,Debt collection,2015
Sklar Law LLC,0.0,,1635437.0,,Debt collection,2015
"Slovin & Associates Co., LPA",0.0,,1237330.0,,Debt collection,2015
Smart Auto Leasing,0.0,,1616686.0,,Debt collection,2015
Smith Debnam Narron Drake Saintsing & Myers LLP,0.0,,1263640.0,,Debt collection,2015
"Smith Law Firm, P.C.",0.0,,1475810.0,,Debt collection,2015
"Smith, Rouchon & Associates, Inc.",0.0,,1313978.0,,Debt collection,2015
"Smoky Management, LLC",0.0,,1526843.0,,Debt collection,2015
Snow and Sauerteig LLP,0.0,,1486985.0,,Debt collection,2015
"Sokaogon Finance, Inc.",0.0,,1233673.0,,Debt collection,2015
Solidus Group LLC.,0.0,,1178413.0,,Debt collection,2015
"Solomon and Solomon, P.C.",0.0,,1180831.0,,Debt collection,2015
"Solutions To Portfolios, LLC",0.0,,1250915.0,,Debt collection,2015
"Sortis Financial, Inc.",0.0,,1197275.0,,Debt collection,2015
Sound Collection Services,0.0,,1225046.0,,Debt collection,2015
Source Receivables Management LLC,0.0,,1213311.0,,Debt collection,2015
South Carolina Student Loan Corp,0.0,,1180206.0,,Debt collection,2015
"South West Recovery, Inc.",0.0,,1357914.0,,Debt collection,2015
Southern Auto Finance Co,0.0,,1286991.0,,Debt collection,2015
"Southern Credit Adjusters, Inc.",0.0,,1220049.0,,Debt collection,2015
"Southern Credit Recovery, Inc.",0.0,,1230405.0,,Debt collection,2015
"Southern Financial Systems, Inc.",0.0,,1237340.0,,Debt collection,2015
Southern Management Systems Inc.,0.0,,1184725.0,,Debt collection,2015
"Southern Oregon Credit Service, Inc.",0.0,,1208961.0,,Debt collection,2015
"Southern Service Systems, Inc.",0.0,,1313440.0,,Debt collection,2015
"Southwest Credit Systems, L.P.",0.0,,1179442.0,,Debt collection,2015
"Southwest Recovery Services, Inc.",0.0,,1310186.0,,Debt collection,2015
Specialized Loan Servicing Holdings LLC,0.0,,1183777.0,,Debt collection,2015
"Specified Credit Association, Inc.",0.0,,1212798.0,,Debt collection,2015
Speedee Cash Management,0.0,,1576295.0,,Debt collection,2015
"Sprechman & Associates, P.A.",0.0,,1219722.0,,Debt collection,2015
Springer Collections Inc.,0.0,,1232994.0,,Debt collection,2015
"St John Rossin & Burr, PLLC",0.0,,1423588.0,,Debt collection,2015
"Stallings Financial Group, Inc.",0.0,,1186573.0,,Debt collection,2015
"Stanislaus Credit Control Service, Inc.",0.0,,1179613.0,,Debt collection,2015
"State Collection Service, Inc.",0.0,,1180055.0,,Debt collection,2015
State Home Mortgage,0.0,,1473973.0,,Debt collection,2015
Statebridge Company,0.0,,1355722.0,,Debt collection,2015
"States Recovery Systems, Inc.",0.0,,1279371.0,,Debt collection,2015
Statewide Credit Services Corp.,0.0,,1213509.0,,Debt collection,2015
"Stellar Recovery, Inc.",0.0,,1179950.0,,Debt collection,2015
"Stenger & Stenger, P.C",0.0,,1202300.0,,Debt collection,2015
"Stephen Einstein & Associates, P.C.",0.0,,1542171.0,,Debt collection,2015
"Stephen L. Bruce, P.C.",0.0,,1246683.0,,Debt collection,2015
"Stephens and Michaels Associates, Inc.",0.0,,1185602.0,,Debt collection,2015
Sterling Asset Resolution LLC,0.0,,1572617.0,,Debt collection,2015
Stern & Stern. P.C.,0.0,,1500610.0,,Debt collection,2015
"Stevens Business Service, Inc.",0.0,,1620195.0,,Debt collection,2015
Stillman Law Office,0.0,,1213489.0,,Debt collection,2015
Stone Higgs & Drexler,0.0,,1285487.0,,Debt collection,2015
"Strategic Alliances, Inc.",0.0,,1201369.0,,Debt collection,2015
Strauss Factor Laing & Lyons,0.0,,1326687.0,,Debt collection,2015
Streamline Recovery Inc,0.0,,1192074.0,,Debt collection,2015
"Stuart-Lippman and Associates, Inc",0.0,,1184263.0,,Debt collection,2015
Student Loan Finance Corporation,0.0,,1525663.0,,Debt collection,2015
Suburban Credit Corporation,0.0,,1193347.0,,Debt collection,2015
Sullivan & Terranova,0.0,,1335519.0,,Debt collection,2015
"Sullivan Asset Management, LLC",0.0,,1246755.0,,Debt collection,2015
"Summit Collection Services, Inc.",0.0,,1427102.0,,Debt collection,2015
Summit Financial Corp.,0.0,,1198050.0,,Debt collection,2015
"Sunset Management, Inc",0.0,,1294850.0,,Debt collection,2015
"Superior Adjustment, Inc.",0.0,,1258918.0,,Debt collection,2015
"Support Collectors, Inc.",0.0,,1473318.0,,Debt collection,2015
"Suttell, Hammer & White, P.S",0.0,,1197198.0,,Debt collection,2015
"Sykes,Bourdon,Ahern & Levy, P.C.",0.0,,1634705.0,,Debt collection,2015
Synergetic Communication Inc,0.0,,1246923.0,,Debt collection,2015
"Synerprise Consulting Services, Inc.",0.0,,1249587.0,,Debt collection,2015
Synovus Bank,0.0,,1286560.0,,Debt collection,2015
"Systematic National Collection, Inc.",0.0,,1191767.0,,Debt collection,2015
TCAR Inc,0.0,,1300717.0,,Debt collection,2015
TCF NATIONAL BANK,0.0,,1226567.0,,Debt collection,2015
TD BANK US HOLDING COMPANY,0.0,,1180167.0,,Debt collection,2015
TENET HEALTHCARE CORPORATION,0.0,,2359348.0,,Debt collection,2015
TH Professional & Medical Collections LTD,0.0,,1471308.0,,Debt collection,2015
"THE GENESIS GROUP, INC.",0.0,,1230918.0,,Debt collection,2015
"THE JUDGE LAW FIRM, A LAW CORPORATION",0.0,,1478807.0,,Debt collection,2015
"TIAA, FSB",0.0,,1419895.0,,Debt collection,2015
"TIDEWATER FINANCE COMPANY, INC.",0.0,,1292230.0,,Debt collection,2015
TMX Finance LLC,0.0,,1212119.0,,Debt collection,2015
TOYOTA MOTOR CREDIT CORPORATION,0.0,,1188297.0,,Debt collection,2015
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",0.0,,1179666.0,,Debt collection,2015
TRANSWORLD SYSTEMS INC,0.0,,2356704.0,,Debt collection,2015
"TRICO FINANCIAL SERVICES, LLC",0.0,,1249839.0,,Debt collection,2015
TRINITY HOPE ASSOCIATES,0.0,,1367361.0,,Debt collection,2015
TRUSTMARK CORPORATION,0.0,,1504603.0,,Debt collection,2015
TSC Accounts Receivable Solutions,0.0,,1196256.0,,Debt collection,2015
"TSG Collections, LLC",0.0,,1189234.0,,Debt collection,2015
Tal Lewis Incorporated,0.0,,1508954.0,,Debt collection,2015
"Talbot, Adams, & Moore, Inc.",0.0,,1367706.0,,Debt collection,2015
Tate and Kirlin Assoc,0.0,,1222964.0,,Debt collection,2015
"TaxServ, LLC",0.0,,1439208.0,,Debt collection,2015
"Taylor Law, PLLC",0.0,,1441446.0,,Debt collection,2015
Team Recovery Inc.,0.0,,1488353.0,,Debt collection,2015
Tecco Systems,0.0,,1279193.0,,Debt collection,2015
TekCollect Inc.,0.0,,1179602.0,,Debt collection,2015
"Tenaglia & Hunt, PA",0.0,,1384052.0,,Debt collection,2015
Terrill Outsourcing Group,0.0,,1214545.0,,Debt collection,2015
"TexCap Financial, LLC",0.0,,1194134.0,,Debt collection,2015
Texas Guaranteed,0.0,,1459445.0,,Debt collection,2015
Thaxton Investment Corporation,0.0,,1198749.0,,Debt collection,2015
"The Affiliated Group, Inc",0.0,,1225370.0,,Debt collection,2015
"The Allen Daniel Associates, Inc.",0.0,,1674803.0,,Debt collection,2015
"The Best Service Co.,Inc",0.0,,1215763.0,,Debt collection,2015
"The Borland Law Firm, LLC (Closed)",0.0,,1288038.0,,Debt collection,2015
"The Bureaus, Inc.",0.0,,1209846.0,,Debt collection,2015
"The CBE Group, Inc.",0.0,,4722632.0,,Debt collection,2015
"The CMI Group, Inc.",0.0,,2357496.0,,Debt collection,2015
The Cherrington Firm PLLC,0.0,,1716985.0,,Debt collection,2015
